[0.0152, 48.0, 0.6667, 8.3333, 0.0952, 1.0, 0.25, 966918.7144]
[0.0625, 52.0, 1.1905, 0.619, 0.1667, 0.3, 0.1224, 2000276.2408]
[0.0625, 50.0, 0.9259, 48.0, 0.1667, 1.0, 1.0, 1656318.633]
[0.01, 52.0, 0.7714, 52.0, 0.1667, 0.3, 0.0952, 463791.7006]
[0.0625, 68.0, 1.4545, 2.125, 0.3, 0.8571, 0.0952, 1676713.1001]
[1, 50.0, 50.0, 52.0, 0.25, 0.25, 0.1224, 578678.3564]
[1, 64.0, 68.0, 64.0, 1.0, 0.0952, 0.0952, 1882893.572]
[1, 3.3, 68.0, 66.0, 0.1667, 0.3, 0.0952, 1197892.5956]
[0.0227, 50.0, 0.4118, 50.0, 0.1667, 0.0952, 0.25, 3114529.2107]
[0.0357, 50.0, 0.2931, 68.0, 0.1667, 0.3, 2.5, 1505288.8527]
[0.0238, 1.375, 1.2692, 50.0, 0.6667, 1.0, 0.75, 879051.5053]
[1, 50.0, 50.0, 60.0, 0.3, 0.1224, 0.3, 930598.454]
[0.0179, 54.0, 62.0, 2.0, 1.0, 1.0, 1.0, 164280.5533]
[0.0625, 60.0, 1.35, 0.5556, 0.3, 0.0952, 0.75, 3371086.4931]
[0.0179, 62.0, 84.0, 2.5, 0.1667, 0.3, 0.0952, 0]
[0.0278, 5.2, 0.3939, 0.3585, 1.0, 0.25, 1.0, 0]
[0.0185, 50.0, 8.3333, 68.0, 0.1667, 0.5, 0.0952, 2466260.8625]
[1, 3.5556, 8.0, 66.0, 0.3, 0.1224, 0.3, 1470860.1302]
[1, 6.6, 1.0385, 48.0, 0.1667, 0.3, 1.0, 5897078.6819]
[0.0714, 50.0, 50.0, 52.0, 0.5, 0.8571, 0.75, 716269.1619]
[0.0714, 3.125, 8.3333, 0.2653, 0.3, 0.1224, 0.3, 593978.8446]
[0.0625, 66.0, 2.9091, 0.6061, 0.1667, 0.3, 1.0, 7166506.9162]
[0.0556, 52.0, 0.7931, 68.0, 1.0, 0.25, 1.0, 962497.6404]
[1, 68.0, 0.1667, 62.0, 0.1224, 0.25, 0.1224, 1818155.655]
[0.0385, 54.0, 0.675, 1.6, 1.0, 0.3, 0.75, 678397.1522]
[1, 64.0, 1.65, 50.0, 0.25, 0.2381, 0.2381, 491213.9951]
[0.0333, 52.0, 0.3714, 50.0, 1.0, 1.0, 1.0, 298933.1164]
[0.0185, 52.0, 0.4194, 50.0, 0.75, 0.0952, 0.75, 0]
[1, 1.6667, 52.0, 5.4, 1.0, 1.0, 0.1224, 1415275.9154]
[0.0128, 60.0, 7.5, 66.0, 0.3, 0.0952, 0.3, 611991.8633]
[1, 68.0, 1.36, 1.04, 0.2381, 1.0, 1.0, 481473.393]
[0.0179, 50.0, 0.619, 52.0, 0.1667, 0.75, 0.75, 25893.6534]
[0.125, 50.0, 50.0, 2.5, 1.0, 0.25, 0.1224, 111924.3287]
[0.0132, 68.0, 0.6316, 46.0, 0.0952, 0.3, 0.0952, 0]
[0.0086, 48.0, 6.0, 62.0, 0.75, 0.75, 0.75, 1294793.572]
[0.0833, 60.0, 7.5, 1.9167, 0.3, 1.0, 1.0, 1261640.358]
[0.0455, 48.0, 0.4545, 68.0, 1.0, 1.0, 0.1224, 2573764.8495]
[1, 66.0, 11.0, 68.0, 1.0, 1.0, 6.0, 0]
[0.0714, 64.0, 66.0, 52.0, 0.75, 0.0952, 0.0952, 0]
[0.05, 50.0, 1.9231, 48.0, 0.0952, 0.1224, 0.0952, 637584.1334]
[1, 50.0, 46.0, 1.9231, 1.0, 0.25, 1.0, 797939.0561]
[0.0313, 50.0, 2.0, 1.9231, 0.1667, 0.3, 0.0952, 2826729.4548]
[1, 10.3333, 62.0, 54.0, 0.3, 1.0, 1.0, 1539321.5622]
[0.025, 68.0, 0.8421, 64.0, 0.1667, 0.75, 0.1667, 455689.9105]
[0.0077, 50.0, 0.4103, 0.4359, 0.3, 0.0952, 0.3, 846639.9512]
[0.025, 64.0, 0.963, 64.0, 0.25, 0.25, 0.25, 712924.8983]
[0.0313, 54.0, 3.8571, 9.0, 0.3, 0.3, 0.0952, 0]
[0.0217, 66.0, 0.4151, 64.0, 0.1667, 0.25, 0.2381, 3946276.5663]
[0.05, 50.0, 1.0, 0.3333, 0.2381, 0.8571, 0.75, 1205379.4955]
[0.0714, 50.0, 0.7813, 52.0, 0.1667, 0.0952, 0.0952, 394213.1001]
[0.0065, 60.0, 0.5, 60.0, 0.25, 1.0, 1.0, 948938.4866]
[1, 64.0, 0.6667, 66.0, 1.0, 0.25, 1.0, 0]
[1, 52.0, 5.2, 52.0, 0.3, 1.0, 1.0, 1103627.2579]
[1, 60.0, 1.7647, 60.0, 0.3, 0.0952, 1.0, 1116812.3678]
[0.0156, 68.0, 0.6, 11.3333, 0.1667, 0.3, 0.0952, 0]
[0.0313, 8.3333, 0.7857, 50.0, 0.1667, 0.3, 0.0952, 525555.1668]
[0.0385, 68.0, 0.8611, 66.0, 1.0, 0.1224, 1.0, 520978.8446]
[0.0455, 62.0, 0.5263, 2.7, 0.1667, 0.3, 0.75, 0]
[0.0385, 66.0, 1.5238, 3.0, 0.1667, 1.0, 1.0, 1079449.0643]
[0.0556, 68.0, 68.0, 68.0, 8.0, 8.0, 1.0, 1072914.4833]
[0.0156, 62.0, 0.8125, 1.0, 0.0952, 0.3, 0.0952, 289432.2213]
[0.05, 4.5, 1.069, 62.0, 0.3, 1.0, 0.0952, 775041.1717]
[1, 5.4, 2.7273, 60.0, 0.1667, 0.3, 0.25, 1325354.3531]
[0.025, 50.0, 0.7742, 6.0, 0.25, 0.25, 0.25, 0]
[0.0192, 46.0, 0.2188, 1.0455, 0.1667, 0.3, 0.0952, 950268.9992]
[0.0714, 46.0, 0.0889, 3.2, 0.1224, 0.0952, 0.0952, 732692.677]
[0.0179, 60.0, 5.1667, 7.5, 0.0952, 0.25, 0.25, 1312199.2677]
[1, 60.0, 60.0, 54.0, 0.0952, 1.0, 0.0952, 5141966.7209]
[0.1667, 50.0, 4.3333, 1.3158, 1.0, 0.0952, 1.0, 0]
[0.0294, 66.0, 0.3793, 1.7368, 0.5, 0.1224, 0.1224, 3117899.3491]
[1, 52.0, 1.4706, 52.0, 0.5, 0.1224, 0.1224, 176919.4467]
[0.0556, 66.0, 68.0, 68.0, 1.0, 0.5, 0.5, 0]
[0.025, 50.0, 0.3676, 0.3333, 0.75, 0.2381, 0.75, 1395238.9748]
[0.0122, 4.125, 0.8571, 1.25, 0.3, 1.0, 0.0952, 188529.943]
[0.0313, 62.0, 2.4545, 54.0, 0.3, 0.75, 6.0, 1496245.8096]
[1, 46.0, 50.0, 46.0, 1.0, 1.0, 8.0, 0]
[0.4167, 1.2917, 60.0, 62.0, 2.5, 0.8571, 0.8571, 2627.8275]
[0.0147, 4.3333, 0.3111, 52.0, 0.1667, 1.0, 0.75, 1078222.0504]
[0.0185, 54.0, 7.75, 60.0, 0.0952, 0.0952, 1.0, 1040359.642]
[0.25, 68.0, 1.4348, 64.0, 1.0, 1.0, 1.0, 257348.5761]
[0.0294, 50.0, 0.9615, 50.0, 0.1667, 0.3, 0.0952, 2185944.2636]
[0.0357, 62.0, 0.4571, 0.2308, 0.1667, 0.2381, 0.75, 1982761.8389]
[0.0556, 46.0, 1.1364, 0.4545, 0.1667, 0.3, 0.0952, 3479339.6257]
[0.0139, 60.0, 0.2222, 0.8667, 0.3, 0.75, 2.5, 1771366.3954]
[0.125, 46.0, 1.0455, 1.25, 0.75, 0.75, 0.75, 2342615.297]
[1, 62.0, 1.2381, 0.2778, 0.3, 1.0, 0.1224, 238848.4133]
[0.0263, 4.6, 50.0, 46.0, 1.0, 1.0, 0.6667, 124352.6444]
[0.0625, 60.0, 1.1923, 60.0, 0.1667, 0.3, 0.0952, 0]
[0.1, 64.0, 4.0, 11.0, 0.0952, 1.0, 1.0, 2538155.5736]
[0.0156, 50.0, 0.963, 50.0, 0.1667, 0.0952, 0.1667, 1473386.6558]
[1, 50.0, 50.0, 0.2609, 0.3, 1.0, 0.1224, 137034.8251]
[0.05, 60.0, 1.069, 1.08, 0.25, 1.0, 0.25, 0]
[1, 52.0, 50.0, 52.0, 0.1224, 0.1224, 1.0, 403020.8299]
[1, 2.8333, 2.6667, 68.0, 0.3, 0.25, 1.0, 880290.1546]
[0.0172, 48.0, 48.0, 46.0, 0.5, 0.5, 0.5, 777853.9463]
[0.0192, 46.0, 1.0417, 50.0, 0.1667, 0.2381, 0.75, 260374.288]
[0.02, 64.0, 0.5, 0.5893, 0.1667, 0.3, 0.75, 283677.4614]
[0.0128, 54.0, 0.1795, 3.1, 0.3, 0.0952, 0.3, 583437.3474]
[0.0111, 1.7692, 0.75, 50.0, 0.2381, 1.0, 0.75, 3556322.2132]
[0.0147, 46.0, 0.625, 48.0, 0.1667, 0.25, 0.2381, 344136.7779]
[0.02, 8.0, 0.3333, 1.5238, 0.1667, 0.0952, 0.75, 686165.0936]
[0.0333, 64.0, 64.0, 64.0, 0.75, 0.1224, 0.75, 1368297.8031]
[0.0111, 5.3333, 0.75, 1.2222, 0.25, 2.5, 2.5, 201005.533]
[0.02, 54.0, 60.0, 60.0, 0.1667, 0.3, 0.0952, 684336.371]
[0.0227, 60.0, 0.3333, 0.3377, 0.1667, 0.3, 0.0952, 101419.9349]
[0.0167, 66.0, 0.4706, 2.5385, 0.1667, 1.0, 0.6667, 398086.4931]
[0.0147, 64.0, 0.8621, 0.8519, 0.1667, 0.3, 0.0952, 0]
[0.0192, 68.0, 0.2979, 1.5238, 0.0952, 0.75, 0.0952, 2001770.4638]
[1, 46.0, 2.6667, 46.0, 1.0, 1.0, 0.25, 359221.4809]
[1, 68.0, 64.0, 66.0, 1.0, 0.0952, 1.0, 974340.0325]
[0.0833, 66.0, 0.3333, 2.2857, 0.1667, 0.3, 0.0952, 695028.0716]
[0.0385, 68.0, 3.6667, 68.0, 1.0, 1.0, 1.0, 1015226.9325]
