[0.005, 82.0, 0.7021, 90.0, 0.05, 0.5, 0.5, 765438.4444]
[0.0185, 92.0, 9.0, 0.8364, 0.05, 0.5, 6.0, 4145148.6667]
[0.0357, 90.0, 4.4, 5.8571, 0.0, 0.0, 0.5, 5301675.5556]
[0.0333, 92.0, 3.0714, 92.0, 0.05, 0.5, 0.0625, 3088888.8889]
[0.0625, 102.0, 2.0, 1.5, 0.5, 18.0, 0.0625, 1505595.5556]
[1, 90.0, 90.0, 92.0, 0.5, 0.5, 0.5, 1732689.1111]
[0.05, 98.0, 102.0, 98.0, 0.5, 0.5, 0.5, 2667323.3333]
[0.0556, 4.3333, 102.0, 104.0, 0.05, 0.5, 0.0625, 3775431.3333]
[0.0132, 90.0, 0.2791, 88.0, 0.5, 0.5, 0.5, 7452132.8889]
[1, 88.0, 0.4366, 102.0, 0.05, 0.5, 14.0, 6133333.3333]
[0.0417, 1.5758, 1.625, 88.0, 0.5, 1.0, 0.0, 2229955.1111]
[1, 90.0, 90.0, 94.0, 0.5, 6.0, 6.0, 1748937.1111]
[0.0714, 88.0, 100.0, 2.1364, 0.0, 0.5, 0.0, 3003920.4444]
[0.1, 94.0, 2.2778, 1.0217, 0.5, 0.0625, 1.0, 3144197.3333]
[0.0625, 100.0, 128.0, 4.0909, 0.05, 0.5, 0.0625, 0]
[0.05, 92.0, 0.6061, 0.5323, 1.0, 4.0, 0.0, 0]
[0.05, 88.0, 88.0, 102.0, 0.5, 0.5, 1.0, 1268088.4444]
[1, 98.0, 98.0, 104.0, 0.5, 6.0, 0.5, 5218148.8889]
[1, 104.0, 1.5357, 82.0, 0.05, 0.5, 0.0, 0]
[0.0313, 11.25, 90.0, 92.0, 0.5, 18.0, 1.0, 0]
[0.0357, 90.0, 90.0, 0.2597, 0.5, 6.0, 0.5, 4539035.3333]
[0.125, 104.0, 3.5, 0.9487, 0.05, 0.5, 0.0, 4087664.4444]
[0.0263, 92.0, 0.76, 102.0, 0.5, 0.5, 0.5, 3497009.5556]
[1, 102.0, 0.1429, 100.0, 0.5, 6.0, 6.0, 6151656.0]
[0.0152, 88.0, 1.6296, 98.0, 1.0, 1.0, 0.0, 0]
[1, 98.0, 3.7143, 88.0, 0.5, 4.0, 0.5, 6321304.6667]
