[0.0096, 114.0, 1.303, 14.75, 0.25, 3.0, 3.0, 1203094.467]
[1, 116.0, 9.8333, 0.8406, 0.25, 1.1667, 10.3333, 2364385.8421]
[1, 118.0, 4.1429, 9.5, 0.25, 8.0, 4.0, 1813595.7689]
[0.0152, 116.0, 3.3333, 116.0, 0.25, 1.1667, 3.0, 927583.4011]
[0.0455, 158.0, 3.125, 2.1944, 1.1667, 176.0, 3.0, 655396.0944]
[1, 110.0, 110.0, 116.0, 2.0, 4.0, 2.0, 1010473.4744]
[1, 152.0, 158.0, 152.0, 3.0, 9.0, 2.0, 1581319.284]
[1, 9.625, 158.0, 154.0, 0.25, 1.1667, 3.0, 915664.0358]
[0.025, 118.0, 0.64, 116.0, 1.1667, 3.0, 2.0, 1703828.153]
[0.0294, 116.0, 0.619, 158.0, 0.25, 1.1667, 14.4, 1578519.1212]
[0.0106, 1.6383, 1.4528, 116.0, 8.0, 8.0, 8.0, 835230.2685]
[1, 110.0, 110.0, 124.0, 1.1667, 10.3333, 1.1667, 0]
[0.0625, 116.0, 120.0, 1.8788, 8.0, 4.0, 4.0, 370417.3312]
[0.0833, 124.0, 2.16, 0.9394, 1.1667, 3.0, 8.0, 2334553.9463]
[0.0111, 120.0, 198.0, 5.5, 0.25, 1.1667, 3.0, 0]
[0.1, 7.25, 0.9394, 0.6143, 1.0, 2.0, 8.0, 0]
[0.0147, 116.0, 9.6667, 158.0, 1.1667, 8.0, 3.0, 2151757.4451]
[1, 8.4444, 152.0, 154.0, 1.1667, 10.3333, 10.3333, 1783343.8568]
[1, 6.4167, 2.4, 114.0, 0.25, 1.1667, 8.0, 0]
[0.0455, 19.6667, 118.0, 116.0, 1.0, 176.0, 8.0, 1106118.9585]
[0.0714, 6.875, 110.0, 0.5962, 1.1667, 10.3333, 10.3333, 911310.0081]
[0.0385, 154.0, 5.8462, 2.1429, 0.25, 1.1667, 8.0, 3639049.9593]
[0.0417, 116.0, 1.5152, 158.0, 1.1667, 9.0, 9.0, 930570.952]
[1, 158.0, 0.4074, 10.0, 2.0, 9.0, 2.0, 1717087.7136]
[0.0227, 116.0, 1.7059, 19.0, 0.25, 1.1667, 8.0, 907822.2132]
[1, 152.0, 3.6667, 116.0, 2.0, 1.0435, 1.0435, 0]
[0.0625, 116.0, 0.9032, 116.0, 8.0, 4.0, 4.0, 0]
[0.0104, 116.0, 1.0943, 110.0, 8.0, 8.0, 3.0, 0]
[1, 4.2308, 116.0, 9.6667, 1.1667, 8.0, 10.3333, 3111402.1155]
[0.0072, 124.0, 124.0, 154.0, 1.1667, 1.1667, 3.0, 683738.2425]
[0.0333, 158.0, 2.5484, 2.0714, 1.0435, 8.0, 8.0, 1082180.6347]
[1, 116.0, 3.625, 116.0, 0.25, 8.0, 8.0, 70599.6745]
[0.1667, 116.0, 110.0, 4.2727, 9.0, 4.0, 10.3333, 215437.1847]
[0.0135, 158.0, 1.7059, 108.0, 3.0, 3.0, 10.3333, 0]
[0.0833, 114.0, 9.5, 120.0, 1.1667, 1.1667, 3.0, 1850136.4524]
[0.1, 124.0, 15.5, 6.0, 4.0, 4.0, 9.0, 473165.3377]
[1, 114.0, 0.6765, 158.0, 8.0, 8.0, 10.3333, 2327095.1993]
[1, 154.0, 154.0, 158.0, 1.0, 8.0, 30.0, 0]
[0.0417, 152.0, 25.6667, 116.0, 3.0, 3.0, 3.0, 0]
[0.0227, 18.3333, 2.619, 114.0, 1.1667, 10.3333, 1.1667, 2006224.3287]
[1, 118.0, 108.0, 3.4706, 4.0, 2.0, 9.0, 1701742.2295]
[1, 14.75, 2.85, 3.4706, 0.25, 1.1667, 3.0, 2094604.3124]
