Category: All categories

Country,Charlie Chaplin: (2013),Guillermo del Toro: (2013)
Morocco,100,0
Brazil,86,3
Colombia,68,14
Iran,66,0
Argentina,58,12
France,58,8
Ecuador,57,0
Chile,56,0
Portugal,54,0
Switzerland,52,0
Peru,50,0
Mexico,44,38
India,44,0
Pakistan,43,0
Italy,43,6
Serbia,42,0
Bulgaria,41,0
Ireland,39,0
Austria,38,0
Spain,35,21
Finland,34,0
Romania,34,0
Belgium,34,0
Philippines,33,0
Sweden,32,0
Greece,32,0
Canada,32,9
Denmark,32,0
Turkey,32,0
Russia,31,0
United Kingdom,31,6
Hungary,28,0
Venezuela,28,0
United States,27,11
Israel,27,0
Ukraine,27,0
Australia,26,0
Germany,25,3
Egypt,23,0
Netherlands,21,0
Vietnam,19,0
Japan,17,0
Malaysia,16,0
Poland,16,0
Indonesia,15,0
Saudi Arabia,15,0
