Category: Arts & Entertainment

Country,The Shawshank Redemption: (2015),The Lovers: (2015)
Egypt,100,0
Ukraine,0,57
India,47,0
Australia,40,0
Russia,0,39
United Kingdom,37,0
Canada,32,0
United States,22,4
