Category: Arts & Entertainment

Country,The Shawshank Redemption: (5/1/15 - 5/31/16),The Good Dinosaur: (5/1/15 - 5/31/16)
Philippines,0,100
Australia,29,80
Egypt,79,0
United States,21,72
Malaysia,0,64
Canada,24,63
United Kingdom,28,59
Thailand,26,48
India,35,29
Indonesia,0,33
