Category: All categories

Country,Charlie Chaplin: (2013),Johnny Depp: (2013)
Italy,28,100
Puerto Rico,0,100
Norway,0,86
Sweden,24,85
Australia,18,81
United States,18,76
Hungary,20,76
United Kingdom,20,73
Chile,40,73
Austria,24,72
Canada,21,71
Mexico,31,71
Philippines,22,71
Portugal,35,70
New Zealand,0,70
Ireland,25,69
Costa Rica,0,68
Switzerland,34,67
Morocco,67,32
Denmark,21,65
Greece,21,64
France,39,63
Croatia,0,62
Ecuador,41,60
Finland,18,60
Germany,17,58
Argentina,38,57
Brazil,56,53
Serbia,0,56
Belgium,22,56
Singapore,0,53
Colombia,47,53
Netherlands,13,49
Romania,22,49
Czech Republic,0,48
Pakistan,26,48
Spain,24,48
Bulgaria,33,46
Iran,44,0
Turkey,21,44
Slovakia,0,42
South Africa,0,41
Poland,12,40
United Arab Emirates,0,39
Malaysia,11,39
Hong Kong,0,38
Peru,30,38
Venezuela,21,38
Algeria,0,36
India,30,27
Israel,19,25
Egypt,15,24
Russia,22,5
Ukraine,17,0
Indonesia,10,16
Saudi Arabia,0,16
Vietnam,14,7
Japan,12,2
Thailand,0,10
