Category: All categories

Country,Charlie Chaplin: (2014),Tom Cruise: (2014)
Canada,27,100
Pakistan,42,98
Australia,21,97
United States,21,94
Ireland,27,90
United Kingdom,27,89
Sweden,30,87
Hungary,23,85
New Zealand,0,84
Morocco,84,67
Norway,40,82
Philippines,24,81
Denmark,29,80
Chile,43,76
Singapore,0,73
Costa Rica,0,73
Austria,38,73
United Arab Emirates,32,71
Brazil,69,45
Bangladesh,0,67
Italy,37,65
France,63,53
India,41,62
Spain,37,61
Iran,59,0
Portugal,46,58
Switzerland,57,56
Mexico,41,57
Croatia,0,56
Argentina,47,56
South Africa,19,56
Colombia,54,38
Czech Republic,0,54
Bulgaria,51,0
Bolivia,37,51
Finland,32,50
Belgium,32,49
Romania,32,48
Ecuador,48,46
Turkey,27,48
Netherlands,17,48
Malaysia,18,47
Germany,27,45
Serbia,0,42
Peru,36,42
Venezuela,27,41
Hong Kong,0,41
Iraq,41,0
Algeria,0,40
Poland,12,39
Greece,30,36
Indonesia,12,31
Egypt,19,27
Israel,0,26
Russia,22,0
Saudi Arabia,14,22
Ukraine,20,0
Vietnam,13,18
Japan,16,3
Thailand,0,12
