Category: All categories

Country,Charlie Chaplin: (2015),Jason Statham: (2015)
Moldova,0,100
Hungary,16,85
Bosnia & Herzegovina,0,83
Romania,22,81
Azerbaijan,0,73
Turkey,18,73
Serbia,0,66
Morocco,54,40
Greece,22,50
Croatia,0,47
Iran,46,12
Tunisia,45,0
Pakistan,45,40
Slovakia,0,43
Colombia,43,16
Philippines,18,42
United Kingdom,18,42
Brazil,41,18
Bulgaria,31,41
France,33,40
Austria,24,40
Poland,10,40
Belgium,21,39
Spain,23,39
Sweden,21,38
Switzerland,32,37
Norway,24,37
Germany,16,35
Algeria,21,35
Ecuador,35,25
Netherlands,13,35
Iraq,35,0
Denmark,26,35
United Arab Emirates,26,34
New Zealand,0,34
South Africa,13,33
Portugal,29,33
Finland,18,32
Canada,17,32
Australia,15,32
Chile,31,24
Ireland,17,31
Argentina,30,22
India,29,16
Italy,24,28
Peru,28,17
Malaysia,10,28
Czech Republic,18,28
Vietnam,9,27
Mexico,26,27
Kazakhstan,25,0
Singapore,0,25
Egypt,18,22
Indonesia,8,22
United States,15,22
Bolivia,22,0
Russia,18,3
Venezuela,17,14
Saudi Arabia,12,16
Israel,15,15
Ukraine,15,0
Japan,13,0
Thailand,0,9
