Category: All categories

Country,Charlie Chaplin: (2013),Channing Tatum: (2013)
Puerto Rico,0,100
Philippines,18,87
United States,15,83
Australia,14,74
New Zealand,0,72
Canada,18,68
Norway,0,65
United Kingdom,17,61
Sweden,18,56
Morocco,56,0
Ireland,21,55
Denmark,18,52
Brazil,48,16
South Africa,0,47
Singapore,0,45
Germany,14,45
Austria,21,44
Switzerland,29,44
Hungary,16,40
Finland,19,38
Colombia,38,10
Slovakia,0,38
Iran,37,0
Netherlands,12,36
Czech Republic,0,33
Argentina,32,17
France,32,19
Ecuador,32,0
Chile,31,20
United Arab Emirates,0,31
Belgium,19,30
Portugal,30,29
Peru,28,0
Bulgaria,23,27
Croatia,0,26
Mexico,25,20
India,24,9
Pakistan,24,0
Italy,24,18
Spain,20,24
Malaysia,9,24
Greece,18,23
Serbia,23,22
Poland,9,23
Romania,19,18
Turkey,18,6
Russia,17,0
Indonesia,8,16
Venezuela,15,15
Israel,15,0
Ukraine,15,0
Egypt,13,0
Vietnam,11,5
Japan,10,0
Saudi Arabia,8,0
Thailand,0,5
