Category: All categories

Country,Charlie Chaplin: (2014),Johnny Depp: (2014)
Italy,32,100
Puerto Rico,0,91
Sweden,25,77
Norway,34,76
Australia,18,76
Canada,23,74
Austria,32,71
Morocco,71,36
United Kingdom,22,71
Greece,25,70
United States,18,69
Hungary,19,68
Switzerland,48,67
Costa Rica,0,66
Denmark,24,66
New Zealand,0,65
Slovenia,0,65
Philippines,20,64
Chile,36,63
Ireland,23,62
Mexico,35,61
Serbia,0,61
France,53,59
Brazil,58,44
Finland,27,58
Portugal,39,58
Germany,22,58
Argentina,40,54
Romania,27,54
Croatia,0,53
Belgium,27,50
Iran,49,17
Spain,31,49
Czech Republic,0,49
Bulgaria,43,48
Ecuador,41,47
Netherlands,14,47
Colombia,46,45
Pakistan,35,45
Singapore,0,45
Turkey,23,44
Poland,10,43
Slovakia,0,40
United Arab Emirates,27,39
Malaysia,15,37
Hong Kong,0,36
India,34,25
Iraq,34,0
South Africa,16,34
Bolivia,31,21
Algeria,0,31
Peru,31,31
Venezuela,22,29
Egypt,16,26
Israel,0,23
Russia,18,4
Ukraine,17,0
Saudi Arabia,12,16
Indonesia,10,15
Japan,13,2
Thailand,0,11
Vietnam,11,8
