Category: All categories

Country,Charlie Chaplin: (2015),Tom Cruise: (2015)
Canada,21,100
United States,17,96
Pakistan,53,93
Ireland,22,84
Sweden,27,80
Uruguay,61,80
United Kingdom,22,79
Colombia,49,78
Australia,17,78
New Zealand,0,76
Denmark,34,74
Norway,35,73
United Arab Emirates,37,69
Bangladesh,0,67
Singapore,0,66
Dominican Republic,0,65
Austria,26,65
Morocco,64,47
Chile,36,64
Hungary,16,63
Philippines,20,62
Argentina,37,60
Costa Rica,0,59
Portugal,37,58
India,36,56
Italy,31,54
Iran,53,14
Spain,27,52
South Africa,15,52
France,38,52
Croatia,0,49
Mexico,32,49
Malaysia,12,48
Brazil,48,40
Belgium,25,45
Switzerland,38,45
Finland,24,45
Ecuador,40,44
Netherlands,16,43
Iraq,42,0
Czech Republic,23,41
Bolivia,27,41
Turkey,22,39
Romania,27,39
Germany,20,38
Bulgaria,38,27
Hong Kong,0,38
Algeria,27,37
Peru,34,36
Poland,11,35
Greece,23,35
Serbia,0,35
Slovakia,0,34
Venezuela,20,32
Egypt,19,30
Indonesia,10,29
Israel,16,22
South Korea,0,21
Saudi Arabia,14,21
Russia,21,0
Vietnam,11,19
Ukraine,17,0
Japan,14,2
Thailand,0,12
Taiwan,0,10
