Category: All categories

Country,Charlie Chaplin: (2014),Robert Downey Jr.: (2014)
Morocco,100,0
Brazil,89,26
France,79,31
Colombia,77,29
Iran,72,0
Switzerland,72,28
Bulgaria,70,0
Ecuador,65,0
United States,27,62
Canada,34,62
Chile,62,42
Argentina,61,38
Mexico,51,60
Ireland,34,58
Portugal,58,0
Philippines,27,57
Hungary,28,56
Kazakhstan,0,56
Iraq,55,0
Norway,54,0
Singapore,0,53
Australia,28,52
United Kingdom,35,52
Russia,28,52
Pakistan,51,27
India,51,44
Peru,48,31
Italy,48,39
Czech Republic,0,47
Spain,47,25
United Arab Emirates,47,0
Austria,46,34
Belgium,45,25
New Zealand,0,44
Finland,44,34
Bolivia,43,37
Romania,42,27
Hong Kong,0,42
Ukraine,26,41
Taiwan,0,41
Denmark,39,36
Sweden,37,33
Greece,36,34
Turkey,36,25
Venezuela,35,23
Germany,34,25
Israel,29,0
Malaysia,22,28
South Africa,24,28
Poland,16,28
Egypt,22,0
Japan,21,10
Netherlands,20,20
Indonesia,15,19
Saudi Arabia,19,0
Vietnam,17,0
Thailand,0,9
