Category: All categories

Country,Charlie Chaplin: (2015),Channing Tatum: (2015)
Philippines,22,100
Australia,20,97
Denmark,33,86
Canada,24,84
United Kingdom,25,83
Uruguay,80,0
United States,19,79
Costa Rica,0,77
Hungary,20,75
Morocco,74,0
Austria,32,72
Norway,39,71
New Zealand,0,71
Sweden,30,69
Ireland,27,68
Slovakia,0,66
Germany,22,66
Switzerland,43,64
Iran,61,0
South Africa,17,61
Pakistan,59,18
Brazil,55,29
Colombia,55,28
Chile,41,55
Iraq,53,0
Ecuador,52,42
Netherlands,18,51
Finland,26,51
Czech Republic,0,50
Portugal,44,47
France,47,32
Bulgaria,45,0
Singapore,0,43
Croatia,0,42
Belgium,30,42
Peru,41,36
Mexico,35,41
India,40,11
Argentina,40,40
Spain,31,39
United Arab Emirates,38,38
Kazakhstan,36,0
Italy,34,26
Venezuela,23,34
Serbia,0,34
Poland,14,33
Bolivia,33,0
Romania,31,27
Malaysia,14,29
Greece,29,29
Algeria,27,0
Turkey,25,9
Russia,24,0
Egypt,23,0
Israel,21,0
Ukraine,20,0
Indonesia,11,18
Saudi Arabia,16,0
Japan,16,0
Vietnam,13,5
Thailand,0,6
