Category: All categories

Country,Charlie Chaplin: (2014),Morgan Freeman: (2014)
Morocco,100,0
Brazil,83,16
France,76,26
Iran,70,0
Switzerland,68,26
Colombia,65,19
United States,26,62
Bulgaria,61,0
Ecuador,57,0
Argentina,56,26
Portugal,55,28
Canada,32,53
New Zealand,0,53
Australia,25,52
Chile,51,29
Pakistan,50,0
Ireland,33,50
Mexico,49,23
India,49,8
Iraq,48,0
Norway,48,48
Austria,45,22
Italy,45,27
Bolivia,44,0
Hungary,27,44
Spain,44,33
Denmark,34,44
Peru,43,29
United Kingdom,32,43
Sweden,35,42
Finland,38,0
United Arab Emirates,38,0
Belgium,38,24
Romania,38,36
Greece,35,23
Turkey,33,20
Venezuela,32,28
Germany,32,21
Netherlands,20,31
South Africa,23,30
Philippines,29,25
Russia,26,0
Ukraine,24,0
Egypt,23,0
Malaysia,22,0
Poland,14,20
Japan,19,0
Saudi Arabia,17,0
Vietnam,16,0
Indonesia,14,5
