Category: All categories

Country,Charlie Chaplin: (2014),Kate Winslet: (2014)
Pakistan,49,100
Bangladesh,0,97
Morocco,95,0
Brazil,84,11
France,75,24
Colombia,73,16
Iran,68,0
Switzerland,68,27
Bulgaria,66,0
Ecuador,62,0
India,48,60
Chile,58,24
Argentina,57,20
Portugal,55,0
Iraq,52,0
Philippines,26,52
Norway,51,0
Mexico,48,24
United Arab Emirates,44,46
Peru,45,0
Italy,45,20
Spain,44,21
Austria,44,24
Indonesia,15,44
Belgium,43,26
United Kingdom,33,42
Finland,41,0
Bolivia,41,37
Ireland,32,40
Romania,40,20
Denmark,37,34
Canada,33,35
Sweden,35,29
Greece,34,0
Australia,26,34
Turkey,34,22
Venezuela,33,0
Germany,32,22
United States,25,29
Malaysia,21,28
Israel,28,0
Egypt,21,27
Hungary,27,0
Russia,27,0
Ukraine,24,0
South Africa,23,0
Japan,20,0
Netherlands,18,19
Saudi Arabia,18,0
Vietnam,16,10
Poland,15,16
