Category: All categories

Country,Charlie Chaplin: (2016),Will Smith: (2016)
Trinidad & Tobago,0,100
Jamaica,0,97
Puerto Rico,0,64
Costa Rica,0,60
Dominican Republic,0,58
Bolivia,0,54
Panama,0,52
United States,6,51
Honduras,0,51
South Africa,6,45
Mexico,12,43
El Salvador,0,41
Guatemala,0,40
Canada,7,40
Colombia,17,39
United Kingdom,7,38
Chile,14,37
Ireland,9,34
Australia,6,34
Venezuela,7,34
Spain,11,33
New Zealand,0,33
Uruguay,0,32
Nigeria,0,31
Peru,14,31
Ecuador,12,30
Kenya,0,29
Denmark,9,29
United Arab Emirates,13,29
Argentina,13,27
Switzerland,27,21
France,16,25
Norway,0,25
Hungary,0,25
Sweden,11,24
Italy,11,24
Brazil,15,23
Belgium,10,23
Croatia,0,22
Morocco,21,20
Philippines,8,21
Pakistan,21,11
Tunisia,19,20
Austria,9,19
Singapore,0,19
Romania,10,19
Portugal,12,18
Netherlands,6,18
Germany,7,17
Iran,17,0
Bangladesh,17,0
Kazakhstan,16,0
Malaysia,6,16
Serbia,11,16
Iraq,16,0
India,15,10
Slovakia,0,15
Poland,5,14
Bulgaria,14,12
Egypt,8,13
Czech Republic,0,13
Greece,11,13
Finland,10,12
Algeria,9,12
Turkey,8,11
Hong Kong,0,10
Saudi Arabia,6,10
Israel,6,9
Indonesia,4,8
Russia,7,1
Ukraine,7,0
Japan,6,1
Thailand,2,4
Vietnam,4,3
