Category: All categories

Country,Charlie Chaplin: (2015),Dwayne Johnson: (2015)
Uruguay,100,0
Morocco,92,0
Iran,76,0
Pakistan,74,33
Canada,30,73
New Zealand,0,70
Hungary,25,70
Brazil,69,23
Colombia,69,30
Iraq,66,0
Ecuador,64,0
United States,24,63
Australia,25,59
South Africa,21,59
France,58,34
United Kingdom,31,57
Bulgaria,56,41
Portugal,56,49
Switzerland,54,49
Ireland,33,53
Chile,52,39
Peru,51,22
India,50,27
Argentina,50,32
Czech Republic,0,50
Norway,48,49
Slovakia,0,48
Croatia,0,48
United Arab Emirates,47,37
Austria,40,46
Kazakhstan,45,0
Singapore,0,45
Mexico,44,27
Malaysia,18,43
Italy,43,21
Bolivia,41,0
Philippines,28,41
Denmark,41,31
Germany,27,40
Spain,39,36
Romania,39,36
Sweden,37,36
Belgium,37,37
Greece,36,24
Netherlands,22,35
Algeria,34,0
Finland,33,27
Poland,18,32
Venezuela,29,31
Turkey,31,25
Russia,30,0
Egypt,29,0
Israel,26,0
Ukraine,24,0
Indonesia,14,21
Saudi Arabia,20,0
Japan,20,0
Vietnam,16,12
