Category: All categories

Country,Charlie Chaplin: (4/1/13 - 5/31/14),Leonardo DiCaprio: (4/1/13 - 5/31/14)
Georgia,0,100
Hungary,12,78
Ireland,15,67
Australia,12,63
Canada,14,63
Norway,15,63
United Kingdom,14,59
United States,12,57
New Zealand,0,54
Sweden,15,54
Puerto Rico,0,48
Dominican Republic,0,46
Morocco,46,25
Denmark,14,45
Uruguay,42,0
Philippines,13,42
Singapore,0,40
Austria,17,39
Slovenia,0,37
Tunisia,31,36
Switzerland,26,36
Brazil,36,15
United Arab Emirates,15,35
Spain,18,35
Belgium,16,34
Chile,26,33
Serbia,16,33
Mexico,20,33
Germany,13,33
France,31,33
Romania,14,33
Portugal,23,32
Croatia,0,31
Colombia,30,26
Czech Republic,0,29
Netherlands,9,29
Ecuador,24,29
Lithuania,0,28
Finland,15,28
Iran,27,10
Bulgaria,20,27
South Africa,10,27
Hong Kong,0,26
Greece,16,26
Argentina,25,25
Pakistan,18,25
Slovakia,0,23
Iraq,23,0
Venezuela,12,22
Turkey,14,22
Peru,19,21
Poland,8,20
India,19,19
Algeria,0,19
Malaysia,8,18
Italy,18,7
Egypt,10,15
Israel,11,15
Indonesia,7,13
Russia,13,3
Ukraine,11,0
Saudi Arabia,7,10
South Korea,0,9
Vietnam,9,6
Japan,7,1
Thailand,0,5
