Category: All categories

Country,Charlie Chaplin: (2016),Robert Downey Jr.: (2016)
Switzerland,100,23
Morocco,80,0
Pakistan,78,26
Mexico,45,76
Tunisia,72,0
Iran,64,0
Colombia,64,31
Bangladesh,62,0
Kazakhstan,61,51
Iraq,59,0
France,59,26
India,58,42
Brazil,58,23
Peru,53,33
Chile,52,51
Bulgaria,52,0
Hungary,0,50
Argentina,48,39
United Arab Emirates,48,32
Canada,28,46
Philippines,32,46
Ecuador,46,43
United States,24,46
Portugal,45,0
Czech Republic,0,44
Russia,28,43
Ireland,32,42
Italy,42,37
Sweden,42,27
Singapore,0,41
Greece,40,28
Spain,40,24
Serbia,39,0
Belgium,39,0
Australia,24,39
Ukraine,26,38
Romania,37,27
United Kingdom,28,36
Finland,36,0
Algeria,35,0
Denmark,34,29
Austria,34,29
Turkey,29,24
Egypt,28,0
Malaysia,21,28
Venezuela,25,28
South Africa,23,25
Germany,25,22
Poland,18,25
Taiwan,0,24
Indonesia,14,24
Israel,23,0
Netherlands,23,17
Japan,22,9
Saudi Arabia,22,0
South Korea,0,21
Vietnam,13,7
Thailand,7,12
