Category: All categories

Country,Charlie Chaplin: (2015),Robert Downey Jr.: (2015)
Morocco,100,0
Uruguay,96,0
Pakistan,83,28
Iran,82,0
Colombia,76,32
Brazil,75,27
Mexico,50,74
Iraq,65,0
Hungary,25,64
United States,27,64
Ireland,34,63
Ecuador,62,45
Canada,33,61
Kazakhstan,0,60
France,60,34
Bulgaria,59,0
Switzerland,58,30
Argentina,58,38
United Arab Emirates,58,0
Portugal,58,0
India,56,43
Russia,32,56
Chile,56,49
Norway,54,37
Denmark,53,36
Peru,52,33
United Kingdom,34,52
Singapore,0,50
Australia,26,48
Czech Republic,36,48
Philippines,31,48
Italy,48,44
New Zealand,0,45
Ukraine,26,45
Bolivia,43,42
Spain,42,27
Algeria,42,0
Romania,42,29
Sweden,42,33
Austria,41,36
Belgium,39,0
Taiwan,0,38
Finland,37,29
Greece,36,37
Turkey,34,29
Venezuela,31,27
Malaysia,18,31
Germany,31,26
South Africa,23,30
Egypt,29,19
Poland,18,29
Netherlands,26,21
Israel,25,0
Indonesia,16,24
South Korea,0,23
Japan,22,11
Saudi Arabia,22,0
Vietnam,16,7
Thailand,0,10
