Category: All categories

Country,Charlie Chaplin: (2013),Henry Cavill: (2013)
Morocco,100,0
Philippines,34,82
Brazil,81,23
Colombia,66,26
Ireland,35,64
Iran,63,0
United Kingdom,30,57
Chile,57,32
Argentina,56,26
France,55,21
Portugal,55,0
New Zealand,0,54
Australia,26,53
Ecuador,52,0
United States,26,51
Switzerland,50,0
Canada,30,49
Singapore,0,46
Mexico,45,42
Bulgaria,45,0
India,43,11
Peru,42,0
United Arab Emirates,41,0
Pakistan,41,0
South Africa,0,41
Serbia,40,0
Italy,39,15
Greece,35,0
Malaysia,15,34
Spain,34,34
Austria,33,0
Sweden,32,20
Denmark,32,0
Romania,31,0
Finland,31,0
Russia,31,0
Belgium,30,20
Turkey,30,8
Venezuela,30,25
Israel,28,0
Hungary,25,0
Germany,25,13
Ukraine,23,0
Vietnam,20,0
Netherlands,20,14
Poland,17,10
Japan,17,0
Indonesia,13,15
