Category: All categories

Country,Charlie Chaplin: (3/1/15 - 3/31/16),Leonardo DiCaprio: (3/1/15 - 3/31/16)
Georgia,0,100
Canada,11,78
Hungary,10,76
Norway,16,73
Ireland,12,71
Australia,9,69
New Zealand,0,69
Sweden,15,68
Puerto Rico,0,67
United States,9,66
Paraguay,0,64
United Kingdom,11,63
Dominican Republic,0,61
Panama,0,60
Mexico,16,59
Slovenia,0,57
Austria,13,54
Denmark,15,54
Chile,20,54
Spain,14,53
Serbia,15,53
Romania,15,52
Costa Rica,0,52
Uruguay,33,52
Czech Republic,12,51
United Arab Emirates,16,51
Philippines,11,50
Singapore,0,49
Portugal,19,48
Croatia,0,47
Bosnia & Herzegovina,0,46
Tunisia,27,46
Colombia,26,45
Germany,10,45
Switzerland,21,45
Slovakia,0,43
Ecuador,23,43
Guatemala,0,41
Finland,12,41
Bangladesh,0,40
Belgium,13,40
Bulgaria,23,40
France,22,40
Peru,18,39
Argentina,19,38
Azerbaijan,0,38
Turkey,12,37
Poland,6,37
South Africa,8,37
Lithuania,0,37
Netherlands,7,36
Venezuela,10,35
Greece,15,34
Hong Kong,0,34
Morocco,34,28
Pakistan,29,33
Brazil,26,29
India,19,29
Iran,28,14
Malaysia,7,28
Iraq,22,0
Algeria,12,22
Egypt,12,22
Bolivia,17,21
Indonesia,5,19
Kazakhstan,17,0
Saudi Arabia,7,16
Israel,9,16
Italy,16,14
Russia,11,2
South Korea,0,11
Ukraine,9,0
Vietnam,5,8
Thailand,0,8
Japan,7,1
Taiwan,0,5
