Category: All categories

Country,Charlie Chaplin: (2013),Hugh Jackman: (2013)
Morocco,100,0
Australia,26,97
Brazil,81,22
Ireland,35,72
United Kingdom,30,67
Singapore,0,66
Colombia,66,20
Iran,63,0
Canada,30,62
New Zealand,0,60
Hungary,25,58
United States,26,57
Chile,57,28
Argentina,56,36
France,55,40
Portugal,55,33
Philippines,34,53
Ecuador,52,0
Switzerland,50,41
Mexico,45,37
Bulgaria,45,0
Spain,34,44
Hong Kong,0,43
India,43,38
Peru,42,21
Sweden,32,41
United Arab Emirates,41,0
Pakistan,41,38
Norway,0,40
Serbia,40,0
South Africa,0,40
Italy,39,30
Czech Republic,0,37
Denmark,32,36
Greece,35,36
Austria,33,36
Malaysia,15,33
Germany,25,32
Belgium,30,31
Romania,31,22
Finland,31,28
Russia,31,0
Turkey,30,17
Venezuela,30,23
Israel,28,0
Netherlands,20,25
Poland,17,24
Ukraine,23,0
Vietnam,20,0
Japan,17,0
Indonesia,13,14
Thailand,0,9
