Category: All categories

Country,Charlie Chaplin: (2016),Scarlett Johansson: (2016)
Mexico,17,100
Guatemala,0,100
Costa Rica,0,94
El Salvador,0,88
Honduras,0,82
Bolivia,0,81
Chile,20,78
Paraguay,0,76
Puerto Rico,0,63
Ecuador,19,62
Colombia,27,51
Peru,21,50
Panama,0,50
Argentina,20,48
Uruguay,31,47
Malaysia,7,43
Philippines,12,43
Switzerland,42,27
New Zealand,0,41
Hungary,0,37
Canada,11,35
United States,9,35
Spain,15,34
Singapore,0,34
France,23,34
Ireland,12,34
Morocco,33,15
Turkey,11,33
United Kingdom,11,32
Italy,16,32
Denmark,12,32
Australia,10,32
Egypt,11,30
Tunisia,30,0
Sweden,15,30
Czech Republic,0,30
Dominican Republic,0,30
Venezuela,10,30
Pakistan,30,26
Hong Kong,0,29
Portugal,19,29
India,22,28
Croatia,0,28
United Arab Emirates,20,26
Austria,13,26
Iran,26,18
Greece,15,25
Norway,0,25
Bangladesh,25,25
South Korea,0,25
Kazakhstan,25,0
Belgium,13,24
South Africa,9,24
Slovakia,0,23
Germany,10,22
Iraq,22,16
Brazil,22,21
Finland,13,22
Indonesia,6,21
Bulgaria,19,17
Algeria,15,19
Poland,7,19
Netherlands,9,18
Serbia,16,17
Romania,14,15
Thailand,0,14
Israel,10,13
Russia,11,3
Saudi Arabia,9,11
Vietnam,5,10
Ukraine,9,0
Japan,9,1
Taiwan,0,7
