Category: All categories

Country,Charlie Chaplin: (2013),Mila Kunis: (2013)
Ireland,18,100
United Kingdom,15,88
New Zealand,0,71
United States,13,67
Australia,13,67
Austria,17,59
Canada,15,59
Sweden,17,55
Norway,0,54
Philippines,16,53
Hungary,14,52
Slovenia,0,52
Switzerland,25,49
Morocco,48,0
Slovakia,0,47
Germany,12,46
Netherlands,9,44
Denmark,15,43
Greece,15,43
South Africa,0,43
Croatia,0,42
Costa Rica,0,42
Serbia,0,41
Singapore,0,41
Belgium,15,41
Brazil,40,19
Portugal,25,39
Poland,9,39
Bulgaria,23,38
Czech Republic,0,37
Chile,29,37
Mexico,22,36
Colombia,34,24
United Arab Emirates,0,34
Finland,13,33
Spain,17,33
Iran,32,17
Romania,16,31
France,28,31
Ecuador,30,25
Argentina,27,28
Israel,14,27
Pakistan,19,26
Italy,20,26
Malaysia,8,26
Venezuela,15,25
India,22,20
Peru,21,19
Turkey,15,20
Indonesia,7,20
Russia,15,3
Egypt,11,13
Ukraine,12,0
Saudi Arabia,0,11
Vietnam,10,0
Japan,9,0
Thailand,0,4
