Category: All categories

Country,Charlie Chaplin: (2015),Anne Hathaway: (2015)
Uruguay,100,0
Morocco,92,0
Philippines,28,87
Hong Kong,0,81
Iran,76,0
Pakistan,74,32
Australia,25,71
Brazil,69,30
Colombia,69,34
Singapore,0,68
Iraq,66,0
Ecuador,64,0
Canada,30,64
Mexico,44,63
United States,24,59
France,58,33
New Zealand,0,58
Bulgaria,56,0
Portugal,56,33
United Kingdom,31,54
Switzerland,54,31
Ireland,33,53
Chile,52,53
Hungary,25,52
Peru,51,34
India,50,25
Argentina,50,41
Norway,48,0
United Arab Emirates,47,46
Kazakhstan,45,0
Italy,43,38
Malaysia,18,43
Bolivia,41,0
Denmark,41,33
Austria,40,30
Spain,39,32
Romania,39,25
South Africa,21,38
Sweden,37,31
Belgium,37,29
Greece,36,30
Algeria,34,0
Finland,33,0
Czech Republic,0,31
Turkey,31,19
Russia,30,0
Venezuela,29,29
South Korea,0,29
Egypt,29,28
Germany,27,25
Israel,26,0
Netherlands,22,24
Ukraine,24,0
Indonesia,14,24
Poland,18,22
Saudi Arabia,20,21
Japan,20,3
Vietnam,16,9
Taiwan,0,16
Thailand,0,14
