Category: All categories

Country,Charlie Chaplin: (2014),Charlize Theron: (2014)
Morocco,100,0
Uruguay,98,0
South Africa,24,96
Brazil,85,14
France,77,40
Colombia,75,24
Iran,74,0
Italy,46,70
Ecuador,68,0
Bulgaria,64,0
Switzerland,63,44
Argentina,62,30
Chile,57,30
Canada,33,57
Norway,57,44
Portugal,54,40
India,52,13
Mexico,52,32
Iraq,51,0
Pakistan,50,0
United States,27,50
Australia,28,50
New Zealand,0,49
Ireland,34,49
Peru,48,0
Spain,47,47
Belgium,46,31
Bolivia,44,0
United Arab Emirates,43,0
Austria,41,34
United Kingdom,35,40
Finland,40,0
Denmark,39,30
Sweden,38,38
Romania,37,35
Greece,37,34
Singapore,0,35
Turkey,35,23
Germany,33,27
Netherlands,22,32
Hungary,28,32
Venezuela,31,0
Philippines,27,30
Russia,28,0
Egypt,24,0
Poland,16,24
Ukraine,24,0
Malaysia,22,23
Japan,19,0
Saudi Arabia,19,0
Vietnam,17,0
Indonesia,14,10
