Category: All categories

Country,Charlie Chaplin: (2015),Theo James: (2015)
Morocco,100,0
Iran,85,0
Tunisia,83,0
Pakistan,82,0
Colombia,79,19
Brazil,75,24
Ecuador,64,0
Iraq,64,0
France,62,33
Philippines,33,61
Switzerland,60,0
Chile,58,33
Bulgaria,57,0
Argentina,54,24
India,53,7
Portugal,53,31
Peru,52,0
Denmark,48,25
United Arab Emirates,47,0
Mexico,47,22
Kazakhstan,46,0
Italy,45,24
Norway,45,0
Austria,43,0
Spain,42,33
Greece,41,0
South Africa,24,41
Bolivia,40,0
Romania,40,23
Sweden,39,24
Algeria,39,0
Hungary,29,39
Belgium,39,25
Australia,28,38
United States,27,34
Russia,34,0
Turkey,34,22
Czech Republic,34,0
United Kingdom,33,30
Egypt,33,0
Finland,33,0
Canada,32,28
Ireland,32,32
Venezuela,31,21
Malaysia,19,31
Germany,30,15
Indonesia,15,29
Israel,28,0
Ukraine,27,0
Netherlands,24,17
Japan,23,0
Saudi Arabia,22,0
Poland,18,15
Vietnam,16,0
