Category: All categories

Country,The Shawshank Redemption: (1/10/16 - 3/28/16),The Finest Hours: (1/10/16 - 3/28/16)
United States,33,100
Canada,35,88
Indonesia,0,75
Turkey,72,0
Russia,44,0
Australia,40,0
Poland,40,0
United Kingdom,34,33
India,30,24
France,0,17
